,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
1858,"ERP Consultant ""Odoo"" Techno",Extend | The Ad Network ,Maadi,Full Time,Experienced,6 - 10 Yrs of Exp,['IT
1859,Civil Estimation Engineer,AL MASHARIQ  ,Riyadh,Full Time,Experienced,5 - 7 Yrs of Exp,['Engineering - Construction
1860,Junior Cost Analyst,Saint,Ain Sokhna,Full Time,Entry Level,2 - 5 Yrs of Exp,['Accounting
1861,Preschool Montessori English Teacher New Academic Year,Trillium Preschool ,New Cairo,Full Time,Entry Level,1 - 2 Yrs of Exp,['Education
1862,Mechanical Estimation Engineer,AL MASHARIQ  ,Riyadh,Full Time,Experienced,5 - 7 Yrs of Exp,['Engineering - Mechanical
1863,Financial Controller,Aman Holding ,Nasr City,Full Time,Manager,7 - 9 Yrs of Exp,['Accounting
1864,Senior Android Developer,Netaq for E,Cairo,Full Time,Experienced,5+ Yrs of Exp,['IT
1865,Freight Import Specialist,Tristar Cargo System ,Sheraton,Full Time,Experienced,3 - 5 Yrs of Exp,['Logistics
1866,Electrical Estimation Engineer,AL MASHARIQ  ,Riyadh,Full Time,Experienced,5 - 7 Yrs of Exp,['Engineering - Construction
1867,Senior IOS Developer,Netaq for E,Cairo,Full Time,Experienced,5+ Yrs of Exp,"['males_only', 'IT"
1868,Mechanical Technical and sales Engineer,Pinion Association For Industrial and commercial Supplies   ,Haram,Full Time,Experienced,1 - 3 Yrs of Exp,"['males_only', 'Sales"
1869,Marketing and Sales indoor,Pinion Association For Industrial and commercial Supplies   ,Haram,Full Time,Experienced,1 - 3 Yrs of Exp,"['females_only', 'Manufacturing"
1870,Flutter developer,HandleT ,Heliopolis,Full Time,Student,0 - 1 Yrs of Exp,['IT
1871,English Teacher,Zeitoun Adventist School ,Zaytoun,Full Time,Experienced,1 - 6 Yrs of Exp,['Education
1872,Sales Officer,حياه للسياحه ,Nasr City,Full Time,Experienced,1 - 4 Yrs of Exp,['Tourism
1873,General Accountant,National Paints ,Obour City,Full Time,Experienced,5 - 7 Yrs of Exp,['Accounting
1874,Accountant Payable Construction,Delta Capital for Urban Development ,Baltim,Full Time,Experienced,5 - 8 Yrs of Exp,['Accounting
1875,Online Video Editor,Edutech Labs Fze ,Giza,Full Time,Experienced,3 - 5 Yrs of Exp,['Creative
1876,Executive Secretary,Adamco Pharm ,6th of October,Full Time,Experienced,3 - 5 Yrs of Exp,"['Administration', 'Operations"
1877,Senior Full Stack Developer,Interactive Limited/Carma Group ,Giza,Full Time,Experienced,4 - 10 Yrs of Exp,['IT
1878,CEO Executive Assistant,STIO Life Science ,Heliopolis,Full Time,Experienced,7 - 10 Yrs of Exp,"['Administration', 'Operations"
1879,Agricultural Engineer,Al Asdekaa Group for Dairies Production and Trading ,Bourj Alarab,Full Time,Entry Level,1 - 2 Yrs of Exp,"['males_only', 'Manufacturing"
1880,HORECA Sales Supervisor,Smartverse ,Heliopolis,Full Time,Manager,2 - 5 Yrs of Exp,"['males_only', 'Customer Service"
1881,IT Help Desk Specialist,Firoz Group ,Obour City,Full Time,Experienced,1 - 3 Yrs of Exp,"['males_only', 'IT"
1882,Data Entry Clerk,Aman Holding ,New Cairo,Full Time,Entry Level,0 - 1 Yrs of Exp,['Customer Service
1883,Content Creator Specialist,Charisma Design ,Nasr City,Full Time,Experienced,2 - 4 Yrs of Exp,['Writing
1884,lighting Technical Office Engineer,Sega_m ,10th of Ramadan City,Full Time,Experienced,1 - 3 Yrs of Exp,"['Engineering - Other', 'AutoCAD', 'Microsoft Office', 'technical', 'engineer', 'Engineering', 'Lighting', 'Tendering']"
1885,Plastic Injection Engineer,Sega_m ,10th of Ramadan City,Full Time,Manager,3 - 4 Yrs of Exp,"['Engineering - Other', 'Engineering', 'Plastic Injection', 'Plastic']"
1886,SAP ABAP Consultant,5D Solutions India Pvt. Ltd. ,Amman,Full Time,Experienced,4 - 7 Yrs of Exp,"['Human Resources', 'IT"
1887,PHP Developer,Hayati SRL ,Cairo,Full Time,Experienced,1 - 3 Yrs of Exp,['IT
1888,Soft Skills Trainer,Xceed Contact Center ,Nasr City,Full Time,Experienced,1 - 2 Yrs of Exp,['Training
1889,Digital Marketing Project Manager,Finding From Egy  ,Smouha,Full Time,Manager,3 - 11 Yrs of Exp,"['females_only', 'Business Development', 'Writing"
1890,Cost Controller with Fast Food Restaurants experience,Comida Cloud Kitchen ,Zamalek,Full Time,Experienced,10 - 15 Yrs of Exp,['Accounting
1891,Software Tester,Bydotpy ,New Cairo,Full Time,Entry Level,1 - 3 Yrs of Exp,['IT
1892,Accountant,Digitology ,Sheikh Zayed,Full Time,Experienced,3 - 5 Yrs of Exp,['Accounting
1893,Sales Engineer,I.D.M Technologies ,10th of Ramadan City,Full Time,Experienced,2 - 4 Yrs of Exp,['Installation
1894,Financial Analysis,Care Services EG ,Abbassia,Full Time,Experienced,2 - 4 Yrs of Exp,['Accounting
1895,HR Specialist with Restaurants Experience,Comida Cloud Kitchen ,Zamalek,Full Time,Experienced,8 - 8 Yrs of Exp,"['Administration', 'Human Resources', 'English', 'excel', 'HR', 'Human Resources"
1896,Sales Engineer for Lubricant and grease industries,Confidential ,Cairo,Full Time,Experienced,1 - 5 Yrs of Exp,['Sales
1897,Electrical Engineer,Rotem SRS ,Maadi,Full Time,Entry Level,1 - 3 Yrs of Exp,['Engineering - Mechanical
1898,Finance Manager,Confidential ,Agami,Full Time,Manager,10 - 15 Yrs of Exp,['Accounting
1899,Medical Representative,Life Medical Consult ,Abbassia,Full Time,Experienced,2 - 5 Yrs of Exp,['Medical
1900,Accountant,dragon wears ,Naseria,Full Time,Experienced,3 - 6 Yrs of Exp,['Accounting
1901,Medical Representative,Life Medical Consult ,Abbassia,Full Time,Entry Level,1+ Yrs of Exp,['Medical
1902,Import Logistics Specialist,Nile Projects & Trading ,Alexandria,Full Time,Experienced,2 - 4 Yrs of Exp,['Logistics
1903,Sales online,CosmoCare Group  ,10th of Ramadan City,Full Time,Experienced,3 - 5 Yrs of Exp,['Marketing
1904,Data Center Account Manager,EGID company ,New Cairo,Full Time,Experienced,2 - 4 Yrs of Exp,['IT
1905,Senior .NET Developer with Umbraco Experience,Netaq for E,Cairo,Full Time,Experienced,7 - 10 Yrs of Exp,['IT
1906,IT Assistant,maxtron ,Smouha,Full Time,Entry Level,1 - 3 Yrs of Exp,['IT
1907,Maintenance Engineer,Multi M Group  ,khanka,Full Time,Experienced,5 - 7 Yrs of Exp,"['males_only', 'Installation"
1908,Digital Marketing Specialist,Multi M Group  ,khanka,Full Time,Experienced,2 - 3 Yrs of Exp,['Creative
1909,Demand Planning engineer,Multi M Group  ,khanka,Full Time,Experienced,2 - 5 Yrs of Exp,['Logistics
1910,Tendering Engineer,Jidaar Construction ,Heliopolis,Full Time,Entry Level,1 - 3 Yrs of Exp,['Engineering - Construction
1911,Data Entry Clerk,Energya Cables ,10th of Ramadan City,Full Time,Entry Level,1 - 3 Yrs of Exp,['Writing
1912,Infrastructure Project Manager,Infracon ,Cairo,Full Time,Manager,15 - 20 Yrs of Exp,['Engineering - Construction
1913,Accountant,Newlife for medical services ,Mansoura,Full Time,Manager,1 - 2 Yrs of Exp,['Accounting
1914,Procurement and Sales Coordinator.,Target Integrated Systems ,Maadi,Full Time,Entry Level,1 - 2 Yrs of Exp,"['Administration', 'Sales"
1915,Senior Electrical Engineer,SCAS ,Maadi,Full Time,Experienced,6 - 10 Yrs of Exp,['Engineering - Mechanical
1916,Senior Mechanical Engineer,SCAS ,Maadi,Full Time,Experienced,6 - 10 Yrs of Exp,['Engineering - Mechanical
1917,German Customer Support Advisor,Webhelp ,New Cairo,Full Time,Entry Level,Customer Service/Support,"['Customer Care', 'Customer Service', 'Customer Support', 'german']"
1918,Traffic Manager,Confidential ,Maadi,Full Time,Experienced,3 - 5 Yrs of Exp,['Marketing
1919,Content Writer,Arabian Advanced Systems ,New Cairo,Full Time,Experienced,3 - 5 Yrs of Exp,['Writing
1920,Operation Officer,Beltone Financial  ,Cairo,Full Time,Entry Level,2 - 3 Yrs of Exp,"['Administration', 'Banking', 'Operations"
1921,Presales Engineer IT,Elite Technology Based ,Heliopolis,Full Time,Entry Level,1 - 2 Yrs of Exp,['IT
1922,Senior Search Engine Optimization,Elite Technology Based ,Heliopolis,Full Time,Senior Management,2 - 3 Yrs of Exp,['Marketing
1923,Sr. Electrical Quantity Surveying & Variation Orders Engineer,DME Holding ,Heliopolis,Full Time,Experienced,6 - 9 Yrs of Exp,['Engineering - Mechanical
1924,Electromechanical Engineer,Heyazah ,Riyadh,Full Time,Experienced,3 - 5 Yrs of Exp,['Installation
1925,_VOIS,_VOIS Egypt ,Cairo,Full Time,Entry Level,0 - 6 Yrs of Exp,['Customer Service
1926,Contract Engineer,Elhazek Construction ,New Cairo,Full Time,Entry Level,2 - 4 Yrs of Exp,['Engineering - Construction
1927,Ticketing & Reservation Agent,flyadeal Egypt ,Giza,Full Time,Experienced,2 - 4 Yrs of Exp,['Customer Service
1928,Technical Engineer VFD and Soft Starter,Confidential ,New Cairo,Full Time,Experienced,2 - 5 Yrs of Exp,"['males_only', 'Engineering - Mechanical"
1929,Sales Manager,Egyptian Cultural Center ,Nasr City,Full Time,Manager,5 - 7 Yrs of Exp,['Sales
1930,Human Resources Generalist,Alouf Travel ,6th of October,Full Time,Experienced,5+ Yrs of Exp,"['Administration', 'Human Resources', 'Communication', 'HR', 'HR Diploma', 'Human Resources"
1931,Senior Accounts Payable Accountant,Giza Seeds and Herbs ,6th of October,Full Time,Experienced,3 - 5 Yrs of Exp,['Accounting
1932,Accountant,"British International School, Cairo ",Giza,Full Time,Experienced,5+ Yrs of Exp,['Accounting
1933,Senior Application Support Engineer,Etisal EG ,New Cairo,Full Time,Experienced,2 - 4 Yrs of Exp,"['males_only', 'Installation"
1934,Electrical Senior Sales Engineer,Gila Electric ,Downtown,Full Time,Experienced,8 - 10 Yrs of Exp,['Sales
1935,Senior Microbiologist,Giza Seeds and Herbs ,6th of October,Full Time,Experienced,3 - 5 Yrs of Exp,"['Quality', 'Microbiology', 'quality']"
1936,Projects Coordinator Manager,Confidential ,Makkah,Full Time,Manager,10 - 15 Yrs of Exp,['Engineering - Construction
1937,IT Manager,Confidential ,Nasr City,Full Time,Experienced,5 - 10 Yrs of Exp,['IT
1938,IT Manager,Dawi Clinics ,Maadi,Full Time,Manager,10 - 15 Yrs of Exp,['IT
1939,IBM Middleware Admin,Royal Cyber ,New Cairo,Full Time,Experienced,3 - 7 Yrs of Exp,['IT
1940,Procurement Manager,Confidential ,Makkah,Full Time,Manager,10 - 20 Yrs of Exp,['Engineering - Construction
1941,Sales Account Executive,Fama technologies  ,Maadi,Full Time,Experienced,5 - 7 Yrs of Exp,['Sales
1942,AR Accountant,Mozare3 ,Sheikh Zayed,Full Time,Entry Level,1 - 3 Yrs of Exp,['Accounting
1943,Visual Merchandiser,Ben Soliman ,Giza,Full Time,Experienced,2 - 4 Yrs of Exp,"['males_only', 'Creative"
1944,Medical Representative,Home Cure  ,Cairo,Full Time,Experienced,1+ Yrs of Exp,['Medical
1945,Customer service,Home Cure  ,Nasr City,Full Time,Experienced,1 - 5 Yrs of Exp,['Customer Service
1946,Document Process Internship,Medmark Insurance Brokerage ,Agouza,Internship,Entry Level,0 - 1 Yrs of Exp,"['Administration', 'Communication skills', 'Data Entry', 'Data Archiving', 'Documentation']"
1947,Staff Nurse,Dar Al,6th of October,Full Time,Experienced,2 - 5 Yrs of Exp,['Medical
1948,SAP SuccessFactors Team Lead,Confidential ,Cairo,Full Time,Manager,3 - 5 Yrs of Exp,['IT
1949,Quality and Food Safety Specialist,Dorra Group ,6th of October,Full Time,Experienced,3 - 4 Yrs of Exp,['Hospitality
1950,Sales Representative,Confidential ,Giza,Full Time,Experienced,0 - 2 Yrs of Exp,['Customer Service
1951,IT Product Manager,Dawi Clinics ,Maadi,Full Time,Experienced,3 - 5 Yrs of Exp,['IT
1952,Computer Teacher,Saint Clare's College ,Heliopolis,Full Time,Experienced,1 - 5 Yrs of Exp,"['females_preferred', 'Education"
1953,Marketing Specialist,Life Medical Consult ,Abbassia,Full Time,Experienced,2 - 5 Yrs of Exp,['Marketing
1954,Telesales Representative,Fama technologies  ,Maadi,Full Time,Experienced,3 - 7 Yrs of Exp,['Sales
1955,Business Development Manager,Confidential ,Makkah,Full Time,Manager,10 - 20 Yrs of Exp,['Engineering - Construction
1956,Oracle Database Administrator,Egabi FSI ,Sheraton,Full Time,Experienced,5+ Yrs of Exp,['IT
1957,Financial Accountant,Gila Electric ,New Cairo,Full Time,Experienced,3 - 6 Yrs of Exp,['Accounting
1958,Customer support and operation,Foxes Technology ,Cairo,Full Time,Entry Level,0 - 1 Yrs of Exp,"['Administration', 'Business Development', 'Customer Service"
1959,General Ledger Accountant,Sky Holding ,Maadi,Full Time,Experienced,2 - 5 Yrs of Exp,['Accounting
1960,Passive and Light Current Sales Account Manager,Interact Technology Solutions ,Maadi,Full Time,Experienced,2 - 4 Yrs of Exp,['IT
1961,Sea Freight Export Operations Executive,Pyramids Freight ,Bab Sharq,Full Time,Experienced,2 - 5 Yrs of Exp,['Customer Service
1962,Customer Support Representative,Fund Ourselves Ltd ,Downtown,Full Time,Entry Level,1+ Yrs of Exp,['Customer Service
1963,Senior HR Specialist,Confidential ,New Cairo,Full Time,Experienced,4 - 7 Yrs of Exp,"['Administration', 'Human Resources', 'Operations"
1964,French teacher,Saint Clare's College ,Heliopolis,Full Time,Experienced,1 - 7 Yrs of Exp,"['females_only', 'Education"
1965,Audit Manager,Confidential ,Ismailia,Full Time,Manager,3 - 7 Yrs of Exp,['Accounting
1966,.Net Team Leader,SURE International Technology ,Cairo,Full Time,Experienced,7 - 10 Yrs of Exp,['IT
1967,Senior Business Development Specialist,Horeca Star ,Cairo,Full Time,Experienced,3 - 5 Yrs of Exp,"['Business Development', 'Sales"
1968,Sales Specialist,Egypt for Panel and Steel Industries S.A.E ,6th of October,Full Time,Experienced,1 - 3 Yrs of Exp,['Sales
1969,HSE Manager,Kandil Industries ,10th of Ramadan City,Full Time,Manager,10 - 15 Yrs of Exp,['Operations
1970,Mechanical Engineer,Orient Egypt ,Dokki,Full Time,Experienced,2 - 8 Yrs of Exp,['Engineering - Mechanical
1971,Fraud Monitoring,Network International ,New Cairo,Full Time,Entry Level,0 - 2 Yrs of Exp,"['Banking', 'French Teaching', 'Francophone', 'Fraud', 'Banking']"
1972,HR & Payroll Application Consultant,Confidential ,Heliopolis,Full Time,Experienced,2 - 5 Yrs of Exp,"['Human Resources', 'IT"
1973,General Accountant,SF Egypt ,Garden City,Full Time,Experienced,3 - 5 Yrs of Exp,"['males_only', 'Accounting"
1974,Human Ressources Assistant,Medecins Sans Frontieres ,Maadi,Full Time,Experienced,2 - 5 Yrs of Exp,"['Administration', 'Human Resources', 'Human Resources"
1975,Restoring Family Links,International Committee of Red Cross ,Maadi,Full Time,Experienced,3 - 5 Yrs of Exp,['Operations
1976,Senior Front,MOOLA ,Cairo,Full Time,Entry Level,3 - 5 Yrs of Exp,['IT
1977,Fitness Centre Receptionist,A1 arena  ,Obour City,Full Time,Entry Level,0 - 3 Yrs of Exp,"['Administration', 'Customer Service"
1978,Senior Back,MOOLA ,Cairo,Full Time,Entry Level,3 - 5 Yrs of Exp,['IT
1979,Project Engineer,Johnson Controls ,Nasr City,Full Time,Experienced,4 - 5 Yrs of Exp,['IT
1980,Senior Light current technical Support,Johnson Controls ,Nasr City,Full Time,Senior Management,4 - 6 Yrs of Exp,['Engineering - Construction
1981,Non,Etisalat Egypt ,Cairo,Full Time,Entry Level,0 - 1 Yrs of Exp,['Customer Service
1982,Architect,Riwaq ,Zamalek,Full Time,Manager,9 - 12 Yrs of Exp,['Engineering - Construction
1983,Call Center Agent,Etisalat Egypt ,Maadi,Full Time,Experienced,Customer Service/Support,['Sales
1984,Call Center Agent,Etisalat Egypt ,Maadi,Full Time,Entry Level,0 - 15 Yrs of Exp,['Customer Service
1985,Customer Service Agent,Etisalat Egypt ,Maadi,Full Time,Entry Level,Customer Service/Support,['Sales
1986,Interior Designer,Sketch Interior ,Maadi,Full Time,Entry Level,1 - 3 Yrs of Exp,['Engineering - Construction
1987,Customer service representative,Etisalat Egypt ,Maadi,Full Time,Entry Level,0 - 5 Yrs of Exp,"['Banking', 'Customer Service"
1988,Desktop Publisher,Future Group ,Dokki,Full Time,Entry Level,1 - 2 Yrs of Exp,['Creative
1989,HVAC Design Engineer,Confidential ,Garden City,Full Time,Experienced,5 - 13 Yrs of Exp,['Creative
1990,English Teacher,Taheal ,Cairo,Full Time,Experienced,2 - 7 Yrs of Exp,['Education
1991,Electrical Design Engineer,Confidential ,Garden City,Full Time,Experienced,5 - 12 Yrs of Exp,['Engineering - Mechanical
1992,Junior Software Engineer,IKEN Technology ,Maadi,Full Time,Entry Level,1 - 2 Yrs of Exp,['IT
1993,Fire Fighting & Plumbing Systems Engineer,Confidential ,Garden City,Full Time,Experienced,5+ Yrs of Exp,['Engineering - Mechanical
1994,Project Manager,IKEN Technology ,Maadi,Full Time,Experienced,2 - 4 Yrs of Exp,['IT
1995,QA Engineer,IKEN Technology ,Maadi,Full Time,Experienced,2 - 4 Yrs of Exp,['IT
1996,Software Engineering Team Lead,IKEN Technology ,Maadi,Full Time,Manager,8+ Yrs of Exp,['IT
1997,Senior Software Engineer,IKEN Technology ,Maadi,Full Time,Experienced,3 - 5 Yrs of Exp,['IT
1998,Full Stack,IKEN Technology ,Maadi,Full Time,Experienced,2 - 4 Yrs of Exp,['IT
1999,HR Specialist,Naia Developments ,Giza,Full Time,Experienced,3 - 5 Yrs of Exp,"['Administration', 'Human Resources', 'Training"
2000,Software Engineer,Charisma Design ,Nasr City,Full Time,Experienced,2 - 5 Yrs of Exp,['Creative
2001,IT Manager,Guardian towing ,Cairo,Full Time,Manager,2 - 5 Yrs of Exp,['IT
2002,Architecture Technical Office Engineer,Tline ,Cairo,Full Time,Experienced,4 - 5 Yrs of Exp,['Engineering - Construction
2003,Technical Support Representative,_VOIS Egypt ,Cairo,Full Time,Entry Level,0 - 3 Yrs of Exp,['Customer Service
2004,Digital Marketing Executive,OOBOOTHS ,Riyadh,Full Time,Experienced,2 - 5 Yrs of Exp,"['females_only', 'Marketing"
2005,Architect,Tline ,Maadi,Full Time,Experienced,4 - 7 Yrs of Exp,['Engineering - Construction
2006,Key Account Manager,Road9 Media ,Maadi,Full Time,Experienced,1 - 4 Yrs of Exp,['Customer Service
2007,Senior media buyer,Egyptian Cultural Center ,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp,['Creative
2008,Site Mechanical Engineer,Al,Giza,Full Time,Experienced,2 - 5 Yrs of Exp,"['males_only', 'Engineering - Mechanical"
2009,Fluent English Speaker,Etisalat Egypt ,Maadi,Full Time,Entry Level,Customer Service/Support,"['business', 'Customer Care', 'Customer Service', 'Customer Support', 'English', 'english speaker', 'Fluent', 'fluent english', 'Medical']"
2010,Youtube,Raysan egypt  ,Alexandria,Full Time,Experienced,2 - 4 Yrs of Exp,['Creative
2011,Customer Support Representative for Back office,Etisalat Egypt ,Maadi,Full Time,Entry Level,0 - 15 Yrs of Exp,['Customer Service
2012,Accountants,El,New Cairo,Full Time,Experienced,1 - 10 Yrs of Exp,['Accounting
2013,Project Manager,Guardian towing ,Cairo,Full Time,Manager,2 - 5 Yrs of Exp,['Project
2014,HRIS Specialist,Confidential ,Maadi,Full Time,Experienced,3 - 5 Yrs of Exp,"['females_preferred', 'Human Resources', 'IT"
2015,Human Resource Administrative Assistant,neo home ,Maadi,Full Time,Experienced,1 - 3 Yrs of Exp,"['Administration', 'Human Resources', 'Administration', 'Retail', 'Human Resources', 'Recruiting', 'Skills']"
2016,European,AL AMAL BUSINESS SOLUTIONS ,Dubai,Full Time,Not specified,Hospitality/Hotels/Food Services,['Operations
2017,General Assistant,Mediclinic International ,Dubai,Full Time,Not specified,Administration,['Operations
2018,Electronic Technician,Hyatt Regency Al Kout ,Kuwait City,Full Time,Not specified,Installation/Maintenance/Repair,['Engineering - Telecom
2019,Housekeeping,Fundamental Hospitality ,Doha,Full Time,Not specified,Administration,['Hospitality
2020,NFL CSR Onshore CIVIL RLIC,MphExperts ,Doha,Full Time,Not specified,IT/Software Development,['Engineering - Telecom
2021,Assistant Manager,Hyatt Regency Al Kout ,Kuwait City,Full Time,Not specified,Administration,['Customer Service
2022,Senior Client Relations Officer,UrbaCon Contracting & Trading Company ,Doha,Full Time,Not specified,Administration,['Customer Service
2023,S&OP PROGRAM MANAGER,Afaq ,Riyadh,Full Time,Not specified,Installation/Maintenance/Repair,['IT
2024,Assistant Nurse,Mediclinic International ,Dubai,Full Time,Not specified,Administration,['Medical
2025,Finance Manager & Board Secretary,People Dynamics ,Doha,Full Time,Not specified,Accounting/Finance,"['Banking', 'Operations"
2026,General Foreman,GALADARI BROTHERS CO. L.L.C ,Dubai,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Creative
2027,Implementer,DXC.technology ,Cairo,Full Time,Not specified,Accounting/Finance,['IT
2028,Maintenance Mechanic,GALADARI BROTHERS CO. L.L.C ,Dubai,Full Time,Not specified,Installation/Maintenance/Repair,['Manufacturing
2029,Reception Manager,Kerzner International Management ,Dubai,Full Time,Not specified,Administration,['Customer Service
2030,AG,Higher Colleges of Technology ,Dubai,Full Time,Not specified,Customer Service/Support,['Operations
2031,Membership Sales Manager,Kerzner International Management ,Dubai,Full Time,Not specified,Customer Service/Support,['Operations
2032,Consultant Pyschiatrist,WizeJob ,Dubai,Full Time,Not specified,Medical/Healthcare,"['psychiatrist', 'consultant', 'patients', 'psychologists', 'pyschiatristwe']"
2033,Procurement Support Executive,Nathan & Nathan ,Dubai,Full Time,Not specified,Customer Service/Support,['IT
2034,Waiters Fine Dining French Restaurant,AL AMAL BUSINESS SOLUTIONS ,Dubai,Full Time,Not specified,Customer Service/Support,['Hospitality
2035,Sales Manager – Digital Advertising,Salt Search Ltd ,Dubai,Full Time,Not specified,Marketing/PR/Advertising,['Sales
2036,Internal Auditor,Deriv ,Dubai,Full Time,Not specified,Accounting/Finance,"['Quality', 'Analyst"
2037,Offshore Construction Director,NPCC ,Dubai,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Project
2038,Manager,ROSHN ,Riyadh,Full Time,Not specified,Operations/Management,['Marketing
2039,Category Manager,Easa Saleh Al Gurg ,Dubai,Full Time,Not specified,Operations/Management,['Marketing
2040,Spa Manager,Spa Staff.com ,Dubai,Full Time,Not specified,Customer Service/Support,['IT
2041,Master Principal Sales Consultant,Jordan Dreams ,Dubai,Full Time,Not specified,IT/Software Development,['Sales
2042,Tagalog speaking Female Housekeeping attendants for UHNWI,apt resources ,Dubai,Full Time,Not specified,Administration,['Installation
2043,Millwright Fitter,GALADARI BROTHERS CO. L.L.C ,Dubai,Full Time,Not specified,Installation/Maintenance/Repair,['Manufacturing
2044,Rigger,GALADARI BROTHERS CO. L.L.C ,Dubai,Full Time,Not specified,Administration,['Engineering - Mechanical
2045,Junior Accounts Receivable Accountant,Electra Solutions ,Dubai,Full Time,Not specified,Accounting/Finance,"['Banking', 'Business Development', 'Accounting', 'Finance', 'Financial Analysis', 'Accounts Receivable', 'Microsoft Office', 'Commerce', 'Financial Management']"
2046,Associate Director,KPMG Fakhro ,Dubai,Full Time,Not specified,Administration,['Engineering - Construction
2047,Graphic Design Manager,Mace Group ,Riyadh,Full Time,Not specified,Creative/Design/Art,['Marketing
2048,Welder,GALADARI BROTHERS CO. L.L.C ,Dubai,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Engineering - Mechanical
2049,Senior Indirect Materials Purchasing Specialist,Giza Arabia ,Riyadh,Full Time,Not specified,Logistics/Supply Chain,['Operations
2050,Bar Manager,Fundamental Hospitality ,Doha,Full Time,Not specified,IT/Software Development,['Sales
2051,,Guildhall Group ,Doha,Full Time,Not specified,IT/Software Development,['Sales
2052,Associate Director,ROSHN ,Riyadh,Full Time,Not specified,Administration,['Engineering - Construction
2053,Administrator,MUFG ,Dubai,Full Time,Not specified,Administration,['Customer Service
2054,Electrician,Hili Rayhaan by Rotana ,Al Ain,Full Time,Not specified,Administration,['Installation
2055,Software Engineer,Bayut ,Dubai,Full Time,Not specified,IT/Software Development,"['Quality', 'Engineering - Telecom"
2056,ICT Teacher Secondary,ISCS Muweilah ,Dubai,Full Time,Not specified,IT/Software Development,['Engineering - Telecom
2057,Export Sales Manager,Reliance HR Consultancy ,Dubai,Full Time,Not specified,Customer Service/Support,['Operations
2058,Cluster Information Technology Manager,Nova M Hotel ,Riyadh,Full Time,Not specified,Installation/Maintenance/Repair,['IT
2059,Food & Beverage Coordinator,Khalidiya Palace Rayhaan by Rotana ,Abu Dhabi,Full Time,Not specified,Hospitality/Hotels/Food Services,['Operations
2060,Cluster Materials Manager,Nova M Hotel ,Riyadh,Full Time,Not specified,Logistics/Supply Chain,['Marketing
2061,Credit Analyst,Transguard group ,Dubai,Full Time,Not specified,Accounting/Finance,"['Banking', 'Analyst"
2062,Senior Specialist,Transguard group ,Dubai,Full Time,Not specified,Human Resources,['Marketing
2063,Service Manager,Giza Arabia ,Riyadh,Full Time,Not specified,Administration,['Customer Service
2064,ENGINEER,alfanar Group ,Riyadh,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Purchasing
2065,Project Engineer,Hitachi ABB Power Grids ,Riyadh,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Project
2066,Housekeeping Attendant,Centro Al Manhal ,Abu Dhabi,Full Time,Not specified,Administration,['Hospitality
2067,Procurement Specialist,Giza Arabia ,Riyadh,Full Time,Not specified,Administration,['Logistics
2068,Analyst,ROSHN ,Riyadh,Full Time,Not specified,Writing/Editorial,['Marketing
2069,Dental Practice Coordinator,Mediclinic International ,Dubai,Full Time,Not specified,IT/Software Development,['Marketing
2070,Housekeeping Attendant,Centro Capital Centre ,Abu Dhabi,Full Time,Not specified,Administration,['Hospitality
2071,Cluster Chief Engineer,Nova M Hotel ,Riyadh,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Installation
2072,Secretary,Media Rotana ,Dubai,Full Time,Not specified,Administration,['Customer Service
2073,Bus Operations Manager,Modern Bus Company Ltd ,Riyadh,Full Time,Not specified,Logistics/Supply Chain,['Operations
2074,Deputy Construction Manager,Air Products Inc ,Riyadh,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Operations
2075,E,Van Cleef & Arpels ,Dubai,Full Time,Not specified,Business Development,['Marketing
2076,Payroll Manager,Business Development and Corporate ,Jeddah,Full Time,Not specified,Accounting/Finance,"['Administration', 'Human Resources', 'Payroll', 'Human Resources"
2077,Salesforce Administrator,Dautom ,Dubai,Full Time,Not specified,Business Development,['IT
2078,European Assistant Restaurant Manager French Fine Dining,AL AMAL BUSINESS SOLUTIONS ,Dubai,Full Time,Not specified,Hospitality/Hotels/Food Services,['Operations
2079,Cluster Financial Controller,Nova M Hotel ,Riyadh,Full Time,Not specified,Accounting/Finance,['Operations
2080,Housekeeping Supervisor,Hala Arjaan by Rotana ,Abu Dhabi,Full Time,Not specified,Administration,['Hospitality
2081,ENGINEER,alfanar Group ,Riyadh,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Project
2082,Project Manager – Architecture Consultancy,Dawaam ,Dubai,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Project
2083,Junior Accounts Payable Accountant,Electra Solutions ,Dubai,Full Time,Not specified,Accounting/Finance,['Hospitality
2084,Landscape Architect,SNC,Riyadh,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Creative
2085,Consultant Orthopedic Surgeon,WizeJob ,Dubai,Full Time,Not specified,Medical/Healthcare,['Sales
